Name,Type,Breed,Color,Sex,Size,Date Of Birth,Impound Number,Kennel Number,Animal ID,Intake Date,Outcome Date,Days in Shelter,Intake Type,Intake Subtype,Outcome Type,Outcome Subtype,Intake Condition,Outcome Condition,Intake Jurisdiction,Outcome Jurisdiction,Outcome Zip Code,Count,Latitude,Longitude
RAZOR,DOG,BOSTON TERRIER,BLACK/WHITE,Neutered,SMALL,10/29/2009,K22-043412,TRUCK,A396382,12/26/2022,12/26/2022,0,STRAY,FIELD,RETURN TO OWNER,FLD_IDTAG,UNKNOWN,HEALTHY,SANTA ROSA,SANTA ROSA,95404.0,1,38.43807,-122.71247
MAX,DOG,BORDER COLLIE,BLACK/TRICOLOR,Neutered,MED,3/10/2020,K23-044090,DS80,A399488,3/15/2023,3/15/2023,0,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_CALL,UNKNOWN,PENDING,COUNTY,COUNTY,95472.0,1,38.40179,-122.82512
,CAT,DOMESTIC LH,GRAY/WHITE,Spayed,SMALL,6/26/2011,K22-043405,VET,A414520,12/23/2022,12/27/2022,4,STRAY,FIELD,DISPOSAL,DOA,UNKNOWN,DEAD,COUNTY,SANTA ROSA,95403.0,1,38.51311,-122.75502
PUDGY,DOG,CHIHUAHUA SH/SCHIPPERKE,TAN,Neutered,MED,7/20/2013,K23-043813,DA27,A415428,2/8/2023,3/15/2023,35,OWNER SURRENDER,OVER THE COUNTER,TRANSFER,MUTTVILLE,UNKNOWN,HEALTHY,SANTA ROSA,OUT OF COUNTY,94103.0,1,37.77672,-122.40779
LEXI,DOG,AUST CATTLE DOG,WHITE/BLACK,Spayed,MED,4/1/2022,K22-041089,DS49,A410937,4/11/2022,6/2/2022,52,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_PRVS,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95407.0,1,38.41483,-122.72707
KENJI,DOG,AKITA,TRICOLOR,Neutered,LARGE,5/2/2022,K22-042314,DQ114,A412962,8/23/2022,8/23/2022,0,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_WALKIN,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95407.0,1,38.41483,-122.72707
COCO,DOG,GREAT PYRENEES,WHITE,Spayed,LARGE,2/21/2022,K22-042491,DS66,A413774,9/10/2022,9/13/2022,3,CONFISCATE,FLD_LIVSTK,RETURN TO OWNER,OVER THE COUNTER_WEB,UNKNOWN,PENDING,COUNTY,COUNTY,95465.0,1,38.4071,-122.94753
*TABITHA,CAT,DOMESTIC SH,BLACK,Spayed,KITTN,7/14/2022,K22-042942,LOBBY,A413866,10/25/2022,12/27/2022,63,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95589.0,1,40.06054,-123.96838
NAKITA,DOG,SIBERIAN HUSKY,BLACK/WHITE,Female,LARGE,,K21-040409,DS68,A414560,12/30/2021,1/4/2022,5,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_PRVS,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95407.0,1,38.41483,-122.72707
*PEPPER,CAT,DOMESTIC SH,BLACK/WHITE,Neutered,KITTN,8/29/2022,K22-042992,CA02,A413965,10/29/2022,12/27/2022,59,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95403.0,1,38.51311,-122.75502
PENNY,DOG,MALTESE/BASSET HOUND,BLACK/WHITE,Female,MED,9/22/2015,K23-043814,DA26,A415429,2/8/2023,3/15/2023,35,OWNER SURRENDER,OVER THE COUNTER,TRANSFER,MUTTVILLE,UNKNOWN,HEALTHY,SANTA ROSA,OUT OF COUNTY,94103.0,1,37.77672,-122.40779
SIR DUNCAN NEPAL,DOG,NEWFOUNDLAND/MIX,BLACK/WHITE,Neutered,X-LRG,8/7/2017,K20-036379,DS82,A399409,8/7/2020,8/27/2020,20,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,REFERRAL-F,UNKNOWN,PENDING,SANTA ROSA,*PETALUMA,94954.0,1,38.2581,-122.63753
*RYAN,CAT,DOMESTIC SH,BLACK/WHITE,Neutered,SMALL,1/12/2022,K22-043125,CA02,A414137,11/12/2022,12/27/2022,45,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95403.0,1,38.51311,-122.75502
POPPY,CAT,DOMESTIC SH,CALICO,Spayed,SMALL,4/10/2022,K23-043826,CA02,A415493,2/10/2023,3/15/2023,33,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,*SEBASTOPOL,95472.0,1,38.40179,-122.82512
*MICHAELA,CAT,DOMESTIC SH,BRN TABBY/WHITE,Spayed,SMALL,5/15/2022,K22-043030,CA02,A414005,11/2/2022,12/27/2022,55,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403.0,1,38.51311,-122.75502
NAKITA,DOG,SIBERIAN HUSKY,BLACK/WHITE,Female,LARGE,,K21-039490,DS69,A414560,8/31/2021,9/1/2021,1,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_CALL,UNKNOWN,HEALTHY,SANTA ROSA,SANTA ROSA,95407.0,1,38.41483,-122.72707
*SQUID,CAT,DOMESTIC SH,BLACK/WHITE,Spayed,SMALL,9/20/2020,K22-042508,CA02,A413237,9/13/2022,12/28/2022,106,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,UNKNOWN,HEALTHY,SANTA ROSA,COUNTY,95403.0,1,38.51311,-122.75502
,CAT,DOMESTIC SH,BRN TABBY,Female,SMALL,2/10/2013,K23-043824,SMM,A415488,2/10/2023,3/15/2023,33,STRAY,OVER THE COUNTER,TRANSFER,WE CARE,UNKNOWN,TREATABLE/MANAGEABLE,SANTA ROSA,OUT OF COUNTY,94574.0,1,38.5061,-122.47168
BENTLEY,DOG,PIT BULL,TRICOLOR/WHITE,Male,MED,2/12/2022,K22-043466,DS53,A414612,12/29/2022,12/29/2022,0,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_CALL,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95407.0,1,38.41483,-122.72707
*SPROUT,DOG,GERM SHEPHERD/MIX,BLACK/TAN,Spayed,PUPPY,7/20/2022,K23-044066,DA04,A415089,3/11/2023,3/16/2023,5,ADOPTION RETURN,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95407.0,1,38.41483,-122.72707
POPPY,DOG,SCHNAUZER MIN/MIX,TRICOLOR/TAN,Spayed,PUPPY,5/11/2022,K23-043540,DI097,A414805,1/9/2023,1/18/2023,9,STRAY,FIELD,TRANSFER,PETSLIFELN,UNKNOWN,HEALTHY,COUNTY,COUNTY,95476.0,1,38.29188,-122.45728
BENJIE,DOG,AUST CATTLE DOG/MIX,WHITE/BLACK,Neutered,LARGE,9/16/2019,K23-044108,DS76,A416235,3/16/2023,3/16/2023,0,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_MCHIP,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95403.0,1,38.51311,-122.75502
SOYA,DOG,CHIHUAHUA SH/MIX,TAN,Female,SMALL,10/17/2017,K18-030265,DS52,A377962,10/17/2018,10/19/2018,2,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_WEB,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95404.0,1,38.43807,-122.71247
